average,date,highest,lowest,order_count,volume
4.21,2023-12-01,4.23,4.19,2167,5376548540
4.24,2023-12-02,4.24,4.23,2453,5767986218
4.25,2023-12-03,4.27,4.24,2588,4895634509
4.28,2023-12-04,4.31,4.08,2355,6508088261
4.2,2023-12-05,4.24,4.08,2005,3778357025
4.28,2023-12-06,4.31,4.23,2029,7198144718
4.3,2023-12-07,4.31,4.28,1780,4453430761
4.24,2023-12-08,4.25,4.18,1800,4746907787
4.29,2023-12-09,4.3,4.25,2366,6082098391
4.25,2023-12-10,4.28,4.2,2352,6777870825
4.24,2023-12-11,4.25,4.23,1956,3765561406
4.21,2023-12-12,4.21,4.21,1928,3621128991
4.21,2023-12-13,4.24,4.2,1907,5539598307
4.25,2023-12-14,4.29,4.12,2036,4285932157
4.21,2023-12-15,4.21,4.2,1939,2917707813
4.21,2023-12-16,4.24,4.18,3046,6337187090
4.23,2023-12-17,4.24,4.2,2673,5942046024
4.25,2023-12-18,4.27,4.08,3196,4297490396
4.26,2023-12-19,4.27,4.23,2348,4633312667
4.25,2023-12-20,4.27,4.08,1747,4983089613
4.26,2023-12-21,4.28,4.02,1930,5332585161
4.21,2023-12-22,4.23,4.0,2679,5540828456
4.23,2023-12-23,4.26,4.15,2319,4587617098
4.24,2023-12-24,4.26,4.2,2049,5634493648
4.25,2023-12-25,4.34,4.22,2484,4688627250
4.21,2023-12-26,4.23,4.2,2146,3345257275
4.22,2023-12-27,4.23,4.21,2644,3421538040
4.17,2023-12-28,4.18,4.08,2937,4602026823
4.18,2023-12-29,4.2,4.04,2831,5456079124
4.18,2023-12-30,4.19,4.16,3680,4522453753
4.16,2023-12-31,4.18,4.09,3189,4627821304
4.2,2024-01-01,4.22,4.19,2155,4978227947
4.2,2024-01-02,4.2,4.19,3162,5049000078
4.19,2024-01-03,4.21,4.01,2180,4946944297
4.23,2024-01-04,4.24,4.21,1928,8293587248
4.16,2024-01-05,4.17,4.13,1986,3779697376
4.04,2024-01-06,4.15,4.03,2972,7148016645
4.16,2024-01-07,4.17,4.01,3246,5042346804
4.12,2024-01-08,4.14,4.07,2208,3818441811
4.12,2024-01-09,4.17,4.1,1879,4881739458
4.18,2024-01-10,4.19,4.12,2462,3926148779
4.19,2024-01-11,4.2,4.18,1923,4201414864
4.14,2024-01-12,4.19,4.06,1867,3817205258
4.17,2024-01-13,4.2,4.13,2125,3683379952
4.16,2024-01-14,4.18,4.11,2366,6257803936
4.18,2024-01-15,4.19,4.08,2680,4798412977
4.2,2024-01-16,4.2,4.19,2615,5397205159
4.18,2024-01-17,4.2,4.16,2893,3855319729
4.19,2024-01-18,4.2,4.18,2089,3354500381
4.2,2024-01-19,4.22,4.15,3275,6340389460
4.18,2024-01-20,4.19,4.17,2561,4525057060
4.19,2024-01-21,4.21,4.14,2095,5084891248
4.18,2024-01-22,4.21,4.08,1848,5090783269
4.2,2024-01-23,4.21,4.18,2487,3686482055
4.21,2024-01-24,4.22,4.2,2650,3686319056
4.19,2024-01-25,4.22,4.11,1985,3679988037
4.16,2024-01-26,4.23,4.05,1776,3910856136
4.16,2024-01-27,4.18,4.15,1943,4498607171
4.21,2024-01-28,4.22,4.2,2129,4656871866
4.23,2024-01-29,4.24,4.22,1741,4870489424
4.28,2024-01-30,4.29,4.25,2648,4540973310
4.29,2024-01-31,4.31,4.18,1842,5092909212
4.29,2024-02-01,4.3,4.28,1727,4199627446
4.36,2024-02-02,4.38,4.33,2620,4775753271
4.4,2024-02-03,4.43,4.36,2384,5577962308
4.36,2024-02-04,4.38,4.29,2090,4066228166
4.39,2024-02-05,4.45,4.19,1748,4191365164
4.45,2024-02-06,4.46,4.32,2545,4340335665
4.31,2024-02-07,4.36,4.21,3489,4279236720
4.4,2024-02-08,4.41,4.36,2746,3432661826
4.33,2024-02-09,4.38,4.27,1927,3735963261
4.33,2024-02-10,4.36,4.3,2886,3747768428
4.36,2024-02-11,4.37,4.26,3336,4295208326
4.22,2024-02-12,4.36,4.21,2967,3435606754
4.31,2024-02-13,4.34,4.25,2893,3206608227
4.32,2024-02-14,4.33,4.29,2763,3015948958
4.24,2024-02-15,4.28,4.11,2904,3487819261
4.3,2024-02-16,4.31,4.28,2746,3742852918
4.22,2024-02-17,4.25,4.2,2320,3317795663
4.22,2024-02-18,4.25,4.17,2157,4648128735
4.26,2024-02-19,4.26,4.25,2757,3295588221
4.24,2024-02-20,4.25,4.22,2029,4934986520
4.26,2024-02-21,4.27,4.18,1841,3849871925
4.22,2024-02-22,4.29,4.15,2486,5649322820
4.28,2024-02-23,4.28,4.28,2933,3945198839
